epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.676,4.01364,4.67781,4.11473,0,0,0,0,4.64271,5.07984,4.17209,0.000234909,0.000234909,0.000234909
2,839.962,3.42697,4.07534,3.64598,0.90867,0.0183,0.00875,0.00253,3.14912,3.83674,3.22125,0.000316849,0.000316849,0.000316849
3,1304.42,3.04134,3.58067,3.23913,0.01041,0.61893,0.04517,0.01607,2.61407,3.56139,2.80566,0.000241709,0.000241709,0.000241709
